id,organism,trait,measurement,unit,source
1114968,Hilaria belangeri,seed dry mass,1.7,mg,https://www.try-db.org/TryWeb/dp.php
1114974,Hyparrhenia hirta,seed dry mass,0.76,mg,https://www.try-db.org/TryWeb/dp.php
1114975,Hyparrhenia rufa,seed dry mass,0.3,mg,https://www.try-db.org/TryWeb/dp.php
2884797,Hyparrhenia newtonii,seed dry mass,3.5,mg,https://www.try-db.org/TryWeb/dp.php
5797530,Hyparrhenia smithiana,seed dry mass,1.4,mg,https://www.try-db.org/TryWeb/dp.php
5796799,Hyparrhenia cymbaria,seed dry mass,3.8,mg,https://www.try-db.org/TryWeb/dp.php
5796955,Hyparrhenia glabriuscula,seed dry mass,0.99,mg,https://www.try-db.org/TryWeb/dp.php
5823441,Hyparrhenia subplumosa,seed dry mass,4.6,mg,https://www.try-db.org/TryWeb/dp.php
1114980,Imperata cylindrica,seed dry mass,0.11,mg,https://www.try-db.org/TryWeb/dp.php
1114439,Glyceria canadensis,seed dry mass,0.37,mg,https://www.try-db.org/TryWeb/dp.php
1114438,Glyceria borealis,seed dry mass,0.33,mg,https://www.try-db.org/TryWeb/dp.php
1114440,Glyceria fluitans,seed dry mass,1.2,mg,https://www.try-db.org/TryWeb/dp.php
1114437,Glyceria septentrionalis,seed dry mass,0.34,mg,https://www.try-db.org/TryWeb/dp.php
1114442,Glyceria maxima,seed dry mass,0.31,mg,https://www.try-db.org/TryWeb/dp.php
1114445,Glyceria notata,seed dry mass,0.36,mg,https://www.try-db.org/TryWeb/dp.php
1114445,Glyceria notata,seed dry mass,1.3,mg,https://www.try-db.org/TryWeb/dp.php
1114444,Glyceria occidentalis,seed dry mass,2.6,mg,https://www.try-db.org/TryWeb/dp.php
1114430,Glyceria obtusa,seed dry mass,0.4,mg,https://www.try-db.org/TryWeb/dp.php
1114431,Glyceria striata,seed dry mass,0.15,mg,https://www.try-db.org/TryWeb/dp.php
1114431,Glyceria striata,seed dry mass,0.069,mg,https://www.try-db.org/TryWeb/dp.php
1114433,Glyceria declinata,seed dry mass,1.3,mg,https://www.try-db.org/TryWeb/dp.php
1115423,Glyceria grandis,seed dry mass,0.32,mg,https://www.try-db.org/TryWeb/dp.php
2896621,Glyceria leptolepis,seed dry mass,0.43,mg,https://www.try-db.org/TryWeb/dp.php
5822156,Glyceria elata,seed dry mass,0.5,mg,https://www.try-db.org/TryWeb/dp.php
108085,Festuca,seed dry mass,0.45,mg,https://www.try-db.org/TryWeb/dp.php
1114417,Festuca idahoensis,seed dry mass,1,mg,https://www.try-db.org/TryWeb/dp.php
1114420,Festuca occidentalis,seed dry mass,0.6,mg,https://www.try-db.org/TryWeb/dp.php
1114425,Festuca subulata,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
1114427,Festuca thurberi,seed dry mass,0.61,mg,https://www.try-db.org/TryWeb/dp.php
1114410,Festuca ovina,seed dry mass,0.43,mg,https://www.try-db.org/TryWeb/dp.php
1114411,Festuca viridula,seed dry mass,0.6,mg,https://www.try-db.org/TryWeb/dp.php
1114408,Festuca dasyclada,seed dry mass,0.96,mg,https://www.try-db.org/TryWeb/dp.php
1114414,Festuca californica,seed dry mass,2.3,mg,https://www.try-db.org/TryWeb/dp.php
1114412,Festuca altaica,seed dry mass,1.7,mg,https://www.try-db.org/TryWeb/dp.php
1114413,Festuca arizonica,seed dry mass,0.88,mg,https://www.try-db.org/TryWeb/dp.php
1114406,Festuca brachyphylla,seed dry mass,0.38,mg,https://www.try-db.org/TryWeb/dp.php
1114407,Festuca rubra,seed dry mass,0.92,mg,https://www.try-db.org/TryWeb/dp.php
1115007,Festuca kingii,seed dry mass,3.1,mg,https://www.try-db.org/TryWeb/dp.php
1115407,Festuca campestris,seed dry mass,2.2,mg,https://www.try-db.org/TryWeb/dp.php
1115412,Festuca heterophylla,seed dry mass,1.7,mg,https://www.try-db.org/TryWeb/dp.php
1115404,Festuca airoides,seed dry mass,0.44,mg,https://www.try-db.org/TryWeb/dp.php
1115417,Festuca subverticillata,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
1115417,Festuca subverticillata,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
1115418,Festuca trachyphylla,seed dry mass,0.5,mg,https://www.try-db.org/TryWeb/dp.php
1115833,Festuca filiformis,seed dry mass,0.3,mg,https://www.try-db.org/TryWeb/dp.php
1115836,Festuca valesiaca,seed dry mass,0.37,mg,https://www.try-db.org/TryWeb/dp.php
5810857,Festuca rupicaprina,seed dry mass,0.5,mg,https://www.try-db.org/TryWeb/dp.php
5810851,Festuca rothmaleri,seed dry mass,0.88,mg,https://www.try-db.org/TryWeb/dp.php
5809287,Festuca rupicola,seed dry mass,0.51,mg,https://www.try-db.org/TryWeb/dp.php
5809287,Festuca rupicola,seed dry mass,0.58,mg,https://www.try-db.org/TryWeb/dp.php
5809481,Festuca juncifolia,seed dry mass,0.79,mg,https://www.try-db.org/TryWeb/dp.php
5809580,Festuca abyssinica,seed dry mass,0.52,mg,https://www.try-db.org/TryWeb/dp.php
5809630,Festuca nigrescens,seed dry mass,0.97,mg,https://www.try-db.org/TryWeb/dp.php
5809624,Festuca altissima,seed dry mass,0.7,mg,https://www.try-db.org/TryWeb/dp.php
5809631,Festuca amethystina,seed dry mass,0.31,mg,https://www.try-db.org/TryWeb/dp.php
5809640,Festuca ampla,seed dry mass,0.91,mg,https://www.try-db.org/TryWeb/dp.php
5811169,Festuca vasconcensis,seed dry mass,0.3,mg,https://www.try-db.org/TryWeb/dp.php
5809666,Festuca pallens,seed dry mass,0.5,mg,https://www.try-db.org/TryWeb/dp.php
5811108,Festuca trichophylla,seed dry mass,1.2,mg,https://www.try-db.org/TryWeb/dp.php
5809655,Festuca paniculata,seed dry mass,5.6,mg,https://www.try-db.org/TryWeb/dp.php
5809678,Festuca armoricana,seed dry mass,0.72,mg,https://www.try-db.org/TryWeb/dp.php
5809698,Festuca violacea,seed dry mass,0.93,mg,https://www.try-db.org/TryWeb/dp.php
52513473,Festuca violacea violacea,seed dry mass,1.5,mg,https://www.try-db.org/TryWeb/dp.php
5809702,Festuca halleri,seed dry mass,1.2,mg,https://www.try-db.org/TryWeb/dp.php
5809777,Festuca brunnescens,seed dry mass,0.64,mg,https://www.try-db.org/TryWeb/dp.php
5809790,Festuca longifolia,seed dry mass,0.53,mg,https://www.try-db.org/TryWeb/dp.php
5809835,Festuca pulchella,seed dry mass,0.5,mg,https://www.try-db.org/TryWeb/dp.php
5809892,Festuca costata,seed dry mass,3,mg,https://www.try-db.org/TryWeb/dp.php
5810164,Festuca quadriflora,seed dry mass,0.8,mg,https://www.try-db.org/TryWeb/dp.php
5810198,Festuca hieronymi,seed dry mass,0.3,mg,https://www.try-db.org/TryWeb/dp.php
5810293,Festuca varia,seed dry mass,1.2,mg,https://www.try-db.org/TryWeb/dp.php
5810262,Festuca stricta,seed dry mass,0.6,mg,https://www.try-db.org/TryWeb/dp.php
5810326,Festuca laevigata,seed dry mass,1.3,mg,https://www.try-db.org/TryWeb/dp.php
5810366,Festuca lilloi,seed dry mass,1.3,mg,https://www.try-db.org/TryWeb/dp.php
5810427,Festuca matthewsii,seed dry mass,2.1,mg,https://www.try-db.org/TryWeb/dp.php
5810524,Festuca novae-zealandiae,seed dry mass,0.9,mg,https://www.try-db.org/TryWeb/dp.php
5810660,Festuca petraea,seed dry mass,0.82,mg,https://www.try-db.org/TryWeb/dp.php
1114288,Deschampsia elongata,seed dry mass,0.24,mg,https://www.try-db.org/TryWeb/dp.php
1114284,Deschampsia cespitosa,seed dry mass,0.23,mg,https://www.try-db.org/TryWeb/dp.php
47386539,Deschampsia cespitosa cespitosa,seed dry mass,0.38,mg,https://www.try-db.org/TryWeb/dp.php
47386539,Deschampsia cespitosa cespitosa,seed dry mass,0.15,mg,https://www.try-db.org/TryWeb/dp.php
1114287,Deschampsia danthonioides,seed dry mass,0.27,mg,https://www.try-db.org/TryWeb/dp.php
5817896,Deschampsia antarctica,seed dry mass,0.29,mg,https://www.try-db.org/TryWeb/dp.php
5816065,Deschampsia setacea,seed dry mass,0.11,mg,https://www.try-db.org/TryWeb/dp.php
1114282,Cinna arundinacea,seed dry mass,0.48,mg,https://www.try-db.org/TryWeb/dp.php
1114283,Cinna latifolia,seed dry mass,0.13,mg,https://www.try-db.org/TryWeb/dp.php
2884994,Cenchrus prieurii,seed dry mass,1.9,mg,https://www.try-db.org/TryWeb/dp.php
2884992,Cenchrus pennisetiformis,seed dry mass,0.67,mg,https://www.try-db.org/TryWeb/dp.php
1294321,Cenchrus setiger,seed dry mass,0.5,mg,https://www.try-db.org/TryWeb/dp.php
1115814,Cenchrus spinifex,seed dry mass,6.4,mg,https://www.try-db.org/TryWeb/dp.php
1115814,Cenchrus spinifex,seed dry mass,5.9,mg,https://www.try-db.org/TryWeb/dp.php
1115489,Cenchrus ciliaris,seed dry mass,0.91,mg,https://www.try-db.org/TryWeb/dp.php
1115489,Cenchrus ciliaris,seed dry mass,1,mg,https://www.try-db.org/TryWeb/dp.php
1114275,Cenchrus tribuloides,seed dry mass,8.4,mg,https://www.try-db.org/TryWeb/dp.php
1114274,Cenchrus longispinus,seed dry mass,15,mg,https://www.try-db.org/TryWeb/dp.php
1114278,Cenchrus echinatus,seed dry mass,17,mg,https://www.try-db.org/TryWeb/dp.php
1114276,Cenchrus biflorus,seed dry mass,2.3,mg,https://www.try-db.org/TryWeb/dp.php
5823242,Cenchrus mitis,seed dry mass,26,mg,https://www.try-db.org/TryWeb/dp.php
5823252,Cenchrus pilosus,seed dry mass,13,mg,https://www.try-db.org/TryWeb/dp.php
52514015,Cenchrus unisetus,seed dry mass,0.37,mg,https://www.try-db.org/TryWeb/dp.php
52514016,Cenchrus foermerianus,seed dry mass,1.5,mg,https://www.try-db.org/TryWeb/dp.php
50566524,Cenchrus sieberianus,seed dry mass,3.3,mg,https://www.try-db.org/TryWeb/dp.php
49910333,Cenchrus setaceus,seed dry mass,0.86,mg,https://www.try-db.org/TryWeb/dp.php
50566526,Cenchrus divisus,seed dry mass,2.8,mg,https://www.try-db.org/TryWeb/dp.php
50566526,Cenchrus divisus,seed dry mass,2.6,mg,https://www.try-db.org/TryWeb/dp.php
52189043,Cenchrus polystachios,seed dry mass,0.36,mg,https://www.try-db.org/TryWeb/dp.php
52189044,Cenchrus orientalis,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
52514024,Cenchrus basedowii,seed dry mass,4.2,mg,https://www.try-db.org/TryWeb/dp.php
49910338,Cenchrus flaccidus,seed dry mass,1,mg,https://www.try-db.org/TryWeb/dp.php
52189038,Cenchrus clandestinus,seed dry mass,2.2,mg,https://www.try-db.org/TryWeb/dp.php
52189040,Cenchrus macrourus,seed dry mass,1.5,mg,https://www.try-db.org/TryWeb/dp.php
52514034,Cenchrus longissimus,seed dry mass,1.4,mg,https://www.try-db.org/TryWeb/dp.php
52189045,Cenchrus pedicellatus,seed dry mass,2,mg,https://www.try-db.org/TryWeb/dp.php
49910334,Cenchrus americanus,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
49910334,Cenchrus americanus,seed dry mass,2.4,mg,https://www.try-db.org/TryWeb/dp.php
49910334,Cenchrus americanus,seed dry mass,9.4,mg,https://www.try-db.org/TryWeb/dp.php
49910334,Cenchrus americanus,seed dry mass,2.1,mg,https://www.try-db.org/TryWeb/dp.php
49910332,Cenchrus purpureus,seed dry mass,0.38,mg,https://www.try-db.org/TryWeb/dp.php
49047684,Cenchrus violaceus,seed dry mass,2,mg,https://www.try-db.org/TryWeb/dp.php
52514043,Cenchrus mezianus,seed dry mass,0.46,mg,https://www.try-db.org/TryWeb/dp.php
52189046,Cenchrus longisetus,seed dry mass,1.4,mg,https://www.try-db.org/TryWeb/dp.php
1114266,Calamagrostis nutkaensis,seed dry mass,0.6,mg,https://www.try-db.org/TryWeb/dp.php
1114267,Calamagrostis ophitidis,seed dry mass,0.43,mg,https://www.try-db.org/TryWeb/dp.php
1114260,Calamagrostis breweri,seed dry mass,0.23,mg,https://www.try-db.org/TryWeb/dp.php
1114261,Calamagrostis canadensis,seed dry mass,0.099,mg,https://www.try-db.org/TryWeb/dp.php
1114262,Calamagrostis foliosa,seed dry mass,0.92,mg,https://www.try-db.org/TryWeb/dp.php
1114259,Calamagrostis bolanderi,seed dry mass,0.094,mg,https://www.try-db.org/TryWeb/dp.php
1114258,Calamagrostis rubescens,seed dry mass,0.17,mg,https://www.try-db.org/TryWeb/dp.php
1114255,Calamagrostis epigejos,seed dry mass,0.08,mg,https://www.try-db.org/TryWeb/dp.php
1115306,Calamagrostis inexpansa,seed dry mass,0.22,mg,https://www.try-db.org/TryWeb/dp.php
1115309,Calamagrostis stricta,seed dry mass,0.18,mg,https://www.try-db.org/TryWeb/dp.php
2876048,Calamagrostis arundinacea,seed dry mass,0.44,mg,https://www.try-db.org/TryWeb/dp.php
5801542,Calamagrostis canescens,seed dry mass,0.088,mg,https://www.try-db.org/TryWeb/dp.php
5801489,Calamagrostis austrodensa,seed dry mass,0.25,mg,https://www.try-db.org/TryWeb/dp.php
5801443,Calamagrostis villosa,seed dry mass,0.1,mg,https://www.try-db.org/TryWeb/dp.php
5801738,Calamagrostis inaequalis,seed dry mass,0.26,mg,https://www.try-db.org/TryWeb/dp.php
5801716,Calamagrostis hieronymi,seed dry mass,0.3,mg,https://www.try-db.org/TryWeb/dp.php
5801994,Calamagrostis quadriseta,seed dry mass,0.14,mg,https://www.try-db.org/TryWeb/dp.php
5801889,Calamagrostis neocontracta,seed dry mass,0.49,mg,https://www.try-db.org/TryWeb/dp.php
5801865,Calamagrostis varia,seed dry mass,0.1,mg,https://www.try-db.org/TryWeb/dp.php
5801858,Calamagrostis minor,seed dry mass,0.38,mg,https://www.try-db.org/TryWeb/dp.php
47160648,Calamagrostis purpurea,seed dry mass,0.1,mg,https://www.try-db.org/TryWeb/dp.php
108079,Bromus,seed dry mass,4,mg,https://www.try-db.org/TryWeb/dp.php
1114216,Bromus erectus,seed dry mass,3.8,mg,https://www.try-db.org/TryWeb/dp.php
1114216,Bromus erectus,seed dry mass,4.2,mg,https://www.try-db.org/TryWeb/dp.php
1114217,Bromus laevipes,seed dry mass,4.5,mg,https://www.try-db.org/TryWeb/dp.php
1114214,Bromus carinatus,seed dry mass,5.9,mg,https://www.try-db.org/TryWeb/dp.php
1114215,Bromus alopecuros,seed dry mass,2.3,mg,https://www.try-db.org/TryWeb/dp.php
1114213,Bromus japonicus,seed dry mass,2.5,mg,https://www.try-db.org/TryWeb/dp.php
1114243,Bromus rubens,seed dry mass,2.5,mg,https://www.try-db.org/TryWeb/dp.php
1114241,Bromus pubescens,seed dry mass,4.6,mg,https://www.try-db.org/TryWeb/dp.php
1114239,Bromus polyanthus,seed dry mass,8.9,mg,https://www.try-db.org/TryWeb/dp.php
1114237,Bromus orcuttianus,seed dry mass,6.6,mg,https://www.try-db.org/TryWeb/dp.php
1114234,Bromus latiglumis,seed dry mass,2.7,mg,https://www.try-db.org/TryWeb/dp.php
1114235,Bromus madritensis,seed dry mass,2.6,mg,https://www.try-db.org/TryWeb/dp.php
1114232,Bromus inermis,seed dry mass,3.1,mg,https://www.try-db.org/TryWeb/dp.php
1114233,Bromus kalmii,seed dry mass,2.6,mg,https://www.try-db.org/TryWeb/dp.php
1114233,Bromus kalmii,seed dry mass,1.8,mg,https://www.try-db.org/TryWeb/dp.php
1114230,Bromus diandrus,seed dry mass,9,mg,https://www.try-db.org/TryWeb/dp.php
1114230,Bromus diandrus,seed dry mass,9.5,mg,https://www.try-db.org/TryWeb/dp.php
1114228,Bromus ciliatus,seed dry mass,3.5,mg,https://www.try-db.org/TryWeb/dp.php
1114229,Bromus commutatus,seed dry mass,4.2,mg,https://www.try-db.org/TryWeb/dp.php
1114227,Bromus briziformis,seed dry mass,3.2,mg,https://www.try-db.org/TryWeb/dp.php
1114226,Bromus arvensis,seed dry mass,1.9,mg,https://www.try-db.org/TryWeb/dp.php
1114224,Bromus arenarius,seed dry mass,2.4,mg,https://www.try-db.org/TryWeb/dp.php
1114223,Bromus anomalus,seed dry mass,3.3,mg,https://www.try-db.org/TryWeb/dp.php
1114220,Bromus scoparius,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
1114249,Bromus tectorum,seed dry mass,2.5,mg,https://www.try-db.org/TryWeb/dp.php
1114249,Bromus tectorum,seed dry mass,3.7,mg,https://www.try-db.org/TryWeb/dp.php
1114250,Bromus vulgaris,seed dry mass,4.3,mg,https://www.try-db.org/TryWeb/dp.php
1114245,Bromus sitchensis,seed dry mass,6.4,mg,https://www.try-db.org/TryWeb/dp.php
1114244,Bromus secalinus,seed dry mass,8.8,mg,https://www.try-db.org/TryWeb/dp.php
1114247,Bromus sterilis,seed dry mass,6.1,mg,https://www.try-db.org/TryWeb/dp.php
1114247,Bromus sterilis,seed dry mass,8.4,mg,https://www.try-db.org/TryWeb/dp.php
1114246,Bromus cebadilla,seed dry mass,7.6,mg,https://www.try-db.org/TryWeb/dp.php
1114246,Bromus cebadilla,seed dry mass,6.4,mg,https://www.try-db.org/TryWeb/dp.php
1115294,Bromus biebersteinii,seed dry mass,5.2,mg,https://www.try-db.org/TryWeb/dp.php
1115295,Bromus catharticus,seed dry mass,8.9,mg,https://www.try-db.org/TryWeb/dp.php
1115295,Bromus catharticus,seed dry mass,8.3,mg,https://www.try-db.org/TryWeb/dp.php
1115295,Bromus catharticus,seed dry mass,9.1,mg,https://www.try-db.org/TryWeb/dp.php
1115296,Bromus danthoniae,seed dry mass,5.7,mg,https://www.try-db.org/TryWeb/dp.php
1115299,Bromus ferronii,seed dry mass,2,mg,https://www.try-db.org/TryWeb/dp.php
1115301,Bromus lanceolatus,seed dry mass,3.1,mg,https://www.try-db.org/TryWeb/dp.php
1115302,Bromus lepidus,seed dry mass,2.8,mg,https://www.try-db.org/TryWeb/dp.php
1115303,Bromus marginatus,seed dry mass,8.6,mg,https://www.try-db.org/TryWeb/dp.php
1115304,Bromus maritimus,seed dry mass,7.7,mg,https://www.try-db.org/TryWeb/dp.php
1115305,Bromus ramosus,seed dry mass,7.1,mg,https://www.try-db.org/TryWeb/dp.php
1115305,Bromus ramosus,seed dry mass,5.5,mg,https://www.try-db.org/TryWeb/dp.php
1115601,Bromus mango,seed dry mass,7.9,mg,https://www.try-db.org/TryWeb/dp.php
1115812,Bromus rigidus,seed dry mass,10,mg,https://www.try-db.org/TryWeb/dp.php
2884570,Bromus variegatus,seed dry mass,2.6,mg,https://www.try-db.org/TryWeb/dp.php
2884563,Bromus benekenii,seed dry mass,5.7,mg,https://www.try-db.org/TryWeb/dp.php
2884531,Bromus intermedius,seed dry mass,2.4,mg,https://www.try-db.org/TryWeb/dp.php
5819032,Bromus coloratus,seed dry mass,7.7,mg,https://www.try-db.org/TryWeb/dp.php
5819234,Bromus pannonicus,seed dry mass,4.2,mg,https://www.try-db.org/TryWeb/dp.php
5819231,Bromus moesiacus,seed dry mass,1.8,mg,https://www.try-db.org/TryWeb/dp.php
5819203,Bromus setifolius,seed dry mass,5.9,mg,https://www.try-db.org/TryWeb/dp.php
5819203,Bromus setifolius,seed dry mass,7.2,mg,https://www.try-db.org/TryWeb/dp.php
5819155,Bromus interruptus,seed dry mass,3.2,mg,https://www.try-db.org/TryWeb/dp.php
5819341,Bromus pseudosecalinus,seed dry mass,3,mg,https://www.try-db.org/TryWeb/dp.php
5819441,Bromus tomentellus,seed dry mass,8,mg,https://www.try-db.org/TryWeb/dp.php
5818949,Bromus auleticus,seed dry mass,3.9,mg,https://www.try-db.org/TryWeb/dp.php
5818805,Bromus brevis,seed dry mass,4.5,mg,https://www.try-db.org/TryWeb/dp.php
47160998,Bromus sclerophyllus,seed dry mass,1.6,mg,https://www.try-db.org/TryWeb/dp.php
47160988,Bromus racemosus,seed dry mass,9.4,mg,https://www.try-db.org/TryWeb/dp.php
47160988,Bromus racemosus,seed dry mass,5,mg,https://www.try-db.org/TryWeb/dp.php
51610482,Bromus pumilio,seed dry mass,2.4,mg,https://www.try-db.org/TryWeb/dp.php
5829945,Anthephora schinzii,seed dry mass,7.1,mg,https://www.try-db.org/TryWeb/dp.php
5829918,Anthephora pubescens,seed dry mass,1.9,mg,https://www.try-db.org/TryWeb/dp.php
1114142,Amphicarpum amphicarpon,seed dry mass,7.1,mg,https://www.try-db.org/TryWeb/dp.php
1114142,Amphicarpum amphicarpon,seed dry mass,3.9,mg,https://www.try-db.org/TryWeb/dp.php
1114140,Ampelodesmos mauritanicus,seed dry mass,4,mg,https://www.try-db.org/TryWeb/dp.php
5816054,Aira cupaniana,seed dry mass,0.046,mg,https://www.try-db.org/TryWeb/dp.php
1115807,Aira elegans,seed dry mass,0.05,mg,https://www.try-db.org/TryWeb/dp.php
1114138,Aira praecox,seed dry mass,0.16,mg,https://www.try-db.org/TryWeb/dp.php
1114137,Aira caryophyllea,seed dry mass,0.13,mg,https://www.try-db.org/TryWeb/dp.php
5829699,Beckmannia eruciformis,seed dry mass,0.8,mg,https://www.try-db.org/TryWeb/dp.php
1114727,Beckmannia syzigachne,seed dry mass,0.57,mg,https://www.try-db.org/TryWeb/dp.php
1115811,Brachypodium phoenicoides,seed dry mass,2.6,mg,https://www.try-db.org/TryWeb/dp.php
1114728,Brachypodium distachyon,seed dry mass,2.2,mg,https://www.try-db.org/TryWeb/dp.php
1114728,Brachypodium distachyon,seed dry mass,3.6,mg,https://www.try-db.org/TryWeb/dp.php
1114729,Brachypodium sylvaticum,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
1114729,Brachypodium sylvaticum,seed dry mass,2.8,mg,https://www.try-db.org/TryWeb/dp.php
1114730,Brachypodium retusum,seed dry mass,3,mg,https://www.try-db.org/TryWeb/dp.php
1114731,Brachypodium pinnatum,seed dry mass,2.4,mg,https://www.try-db.org/TryWeb/dp.php
1114731,Brachypodium pinnatum,seed dry mass,2.8,mg,https://www.try-db.org/TryWeb/dp.php
1114723,Zizania aquatica,seed dry mass,40,mg,https://www.try-db.org/TryWeb/dp.php
1114726,Zizaniopsis miliacea,seed dry mass,2.2,mg,https://www.try-db.org/TryWeb/dp.php
1114722,Uniola paniculata,seed dry mass,100,mg,https://www.try-db.org/TryWeb/dp.php
1114644,Puccinellia fasciculata,seed dry mass,0.24,mg,https://www.try-db.org/TryWeb/dp.php
1114644,Puccinellia fasciculata,seed dry mass,0.2,mg,https://www.try-db.org/TryWeb/dp.php
1114641,Puccinellia nuttalliana,seed dry mass,0.2,mg,https://www.try-db.org/TryWeb/dp.php
1114651,Puccinellia maritima,seed dry mass,0.53,mg,https://www.try-db.org/TryWeb/dp.php
1114634,Puccinellia nutkaensis,seed dry mass,0.15,mg,https://www.try-db.org/TryWeb/dp.php
1114639,Puccinellia distans,seed dry mass,0.13,mg,https://www.try-db.org/TryWeb/dp.php
1114639,Puccinellia distans,seed dry mass,0.22,mg,https://www.try-db.org/TryWeb/dp.php
1114639,Puccinellia distans,seed dry mass,0.21,mg,https://www.try-db.org/TryWeb/dp.php
1115659,Puccinellia stricta,seed dry mass,0.31,mg,https://www.try-db.org/TryWeb/dp.php
5795038,Puccinellia ciliata,seed dry mass,0.2,mg,https://www.try-db.org/TryWeb/dp.php
5795121,Puccinellia macquariensis,seed dry mass,0.44,mg,https://www.try-db.org/TryWeb/dp.php
52513737,Puccinellia rupestris,seed dry mass,0.46,mg,https://www.try-db.org/TryWeb/dp.php
5827383,Sacciolepis cymbiandra,seed dry mass,0.24,mg,https://www.try-db.org/TryWeb/dp.php
5827371,Sacciolepis chevalieri,seed dry mass,0.16,mg,https://www.try-db.org/TryWeb/dp.php
5805458,Sacciolepis curvata,seed dry mass,0.25,mg,https://www.try-db.org/TryWeb/dp.php
5805391,Sacciolepis ciliocincta,seed dry mass,0.48,mg,https://www.try-db.org/TryWeb/dp.php
1114657,Sacciolepis striata,seed dry mass,1.1,mg,https://www.try-db.org/TryWeb/dp.php
5827360,Sacciolepis africana,seed dry mass,0.78,mg,https://www.try-db.org/TryWeb/dp.php
1115651,Parapholis strigosa,seed dry mass,0.37,mg,https://www.try-db.org/TryWeb/dp.php
1115439,Parapholis filiformis,seed dry mass,2.4,mg,https://www.try-db.org/TryWeb/dp.php
1114575,Parapholis incurva,seed dry mass,2.3,mg,https://www.try-db.org/TryWeb/dp.php
1114576,Phragmites australis,seed dry mass,0.12,mg,https://www.try-db.org/TryWeb/dp.php
49910164,Phragmites australis australis,seed dry mass,0.29,mg,https://www.try-db.org/TryWeb/dp.php
108092,Phleum,seed dry mass,0.15,mg,https://www.try-db.org/TryWeb/dp.php
5828941,Phleum hirsutum,seed dry mass,0.21,mg,https://www.try-db.org/TryWeb/dp.php
5798260,Phleum crypsoides,seed dry mass,0.22,mg,https://www.try-db.org/TryWeb/dp.php
2896866,Phleum phleoides,seed dry mass,0.14,mg,https://www.try-db.org/TryWeb/dp.php
1115580,Phleum bertolonii,seed dry mass,0.27,mg,https://www.try-db.org/TryWeb/dp.php
1114570,Phleum pratense,seed dry mass,0.41,mg,https://www.try-db.org/TryWeb/dp.php
1114571,Phleum alpinum,seed dry mass,0.37,mg,https://www.try-db.org/TryWeb/dp.php
1114572,Phleum arenarium,seed dry mass,0.17,mg,https://www.try-db.org/TryWeb/dp.php
1114573,Phleum paniculatum,seed dry mass,0.09,mg,https://www.try-db.org/TryWeb/dp.php
1114455,Hordeum vulgare,seed dry mass,40,mg,https://www.try-db.org/TryWeb/dp.php
1114456,Hordeum brachyantherum,seed dry mass,3.9,mg,https://www.try-db.org/TryWeb/dp.php
1114454,Hordeum jubatum,seed dry mass,1.6,mg,https://www.try-db.org/TryWeb/dp.php
1114451,Hordeum pusillum,seed dry mass,4.4,mg,https://www.try-db.org/TryWeb/dp.php
1114458,Hordeum marinum,seed dry mass,0.88,mg,https://www.try-db.org/TryWeb/dp.php
1114459,Hordeum murinum,seed dry mass,6.5,mg,https://www.try-db.org/TryWeb/dp.php
1293979,Hordeum murinum leporinum,seed dry mass,2.6,mg,https://www.try-db.org/TryWeb/dp.php
1115428,Hordeum bulbosum,seed dry mass,8,mg,https://www.try-db.org/TryWeb/dp.php
1115587,Hordeum spontaneum,seed dry mass,32,mg,https://www.try-db.org/TryWeb/dp.php
1115744,Hordeum secalinum,seed dry mass,3.9,mg,https://www.try-db.org/TryWeb/dp.php
5828251,Hordeum distichon,seed dry mass,46,mg,https://www.try-db.org/TryWeb/dp.php
5828356,Hordeum comosum,seed dry mass,4.3,mg,https://www.try-db.org/TryWeb/dp.php
1114855,Cortaderia rudiuscula,seed dry mass,0.14,mg,https://www.try-db.org/TryWeb/dp.php
1114854,Coleanthus subtilis,seed dry mass,0.046,mg,https://www.try-db.org/TryWeb/dp.php
1115311,Chloris divaricata,seed dry mass,0.11,mg,https://www.try-db.org/TryWeb/dp.php
1115313,Chloris pectinata,seed dry mass,0.2,mg,https://www.try-db.org/TryWeb/dp.php
1114833,Chloris virgata,seed dry mass,0.15,mg,https://www.try-db.org/TryWeb/dp.php
1114837,Chloris cucullata,seed dry mass,0.074,mg,https://www.try-db.org/TryWeb/dp.php
1114838,Chloris gayana,seed dry mass,0.33,mg,https://www.try-db.org/TryWeb/dp.php
1114843,Chloris truncata,seed dry mass,0.13,mg,https://www.try-db.org/TryWeb/dp.php
1114845,Chloris verticillata,seed dry mass,0.31,mg,https://www.try-db.org/TryWeb/dp.php
1114844,Chloris ventricosa,seed dry mass,0.15,mg,https://www.try-db.org/TryWeb/dp.php
1115815,Chloris barbata,seed dry mass,0.22,mg,https://www.try-db.org/TryWeb/dp.php
1115815,Chloris barbata,seed dry mass,0.2,mg,https://www.try-db.org/TryWeb/dp.php
