ID_EoL,CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n_per_km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,Diet,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGBodyMass,ParentalCare,DevelopmentStrategy,HeadOrnaments,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
308536,Ammodorcas clarkei,Ammodorcas_clarkei,Artiodactyla,Bovidae,Ammodorcas,clarkei,0,3,28049.81,NA,1509.96,NA,NA,NA,NA,2,NA,200,1,NA,NA,NA,1,NA,36,NA,NA,0.73,NA,NA,NA,4,1,NA,NA,NA,NA,4,5.6,1,2,1,15,15,NA,1,NA,2,280,2,2,1,27,2,NA,5609.962,5609.962,NA,NA
328662,Ammotragus lervia,Ammotragus_lervia,Artiodactyla,Bovidae,Ammotragus,lervia,0,2,94202.22,NA,1449.99,NA,407.58,NA,NA,2,NA,156.24,1,7.06,6.62,212.91,1.22,NA,252,4500,NA,NA,NA,507.09,NA,3,1,1,121.66,NA,NA,4,3.76,2,1,2,NA,19,2,1.22,229,2,94,2,NA,0,20,1,1,18840.444,18840.444,55,7.06
308537,Antidorcas marsupialis,Antidorcas_marsupialis,Artiodactyla,Bovidae,Antidorcas,marsupialis,0,2,33571.24,NA,1055,NA,NA,NA,NA,2,NA,169.49,1,NA,NA,365,1,NA,240,3841.48,NA,10.69,3000,331.73,NA,NA,1,1,57.45,NA,NA,NA,1,2,1,1,13.1507,7.0027,NA,1,365,NA,33,2,2,0,19,1,1,6714.248,6714.248,90,NA
328661,Antilocapra americana,Antilocapra_americana,Artiodactyla,Antilocapridae,Antilocapra,americana,0,2,47450.01,NA,1310,NA,365,8960,32000,2,NA,247.99,1,8.05,9.53,365,1.93,1,144,3454.7,NA,0.82,1000,534.68,12,NA,1,1,87.54,9662,NA,4,1.88,2,1,1,24,5,2,1.93,365,2,47,2,1,0,11,1,1,9490.002,9490.002,40,8.05
311909,Antilope cervicapra,Antilope_cervicapra,Artiodactyla,Bovidae,Antilope,cervicapra,0,3,36301.1,NA,1250,NA,669.16,NA,NA,5,NA,166.59,1,0.62,NA,212.56,1.22,2,243,3386.14,NA,4.25,27.5,700.04,30,NA,1,1,59.5,NA,NA,NA,1.44,2,1,2,NA,15.3205,NA,1.22,231,NA,36,2,1,1,21,2,1,7260.22,7260.22,80,0.62
313989,Axis axis,Axis_axis,Artiodactyla,Cervidae,Axis,axis,0,3,69499.99,NA,NA,NA,NA,NA,NA,4,NA,227.49,NA,0.67,2.67,425.83,1.01,NA,249.6,3156.86,NA,6.69,NA,543.68,NA,NA,NA,NA,121.66,NA,NA,4,2.76,2,1,1,30.0164,15.5,NA,1.01,426,2,69,2,NA,1,20,2,1,13899.998,13899.998,65,0.67
308522,Axis calamianensis,Axis_calamianensis,Artiodactyla,Cervidae,Axis,calamianensis,0,3,39812.6,NA,1387.44,NA,NA,NA,NA,2,NA,224,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,NA,1,NA,NA,NA,2,NA,NA,39,NA,NA,1,20,3,NA,7962.52,7962.52,NA,2.591
308520,Axis kuhlii,Axis_kuhlii,Artiodactyla,Cervidae,Axis,kuhlii,0,3,54999.99,NA,1375,NA,NA,NA,NA,2,NA,227.49,NA,NA,NA,NA,1.22,1.3,NA,NA,NA,4.44,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2.16,NA,NA,4,NA,NA,NA,1.22,NA,NA,54,2,NA,1,20,2,1,10999.998,10999.998,NA,0.7
308521,Axis porcinus,Axis_porcinus,Artiodactyla,Cervidae,Axis,porcinus,0,2,37448.29,NA,NA,NA,NA,NA,NA,3,NA,220.13,NA,0.52,NA,NA,1,NA,240,2483.33,NA,16.5,NA,464.04,1.8,NA,NA,1,NA,NA,NA,4,1.48,1,2,4,10,10,2,1,NA,2,37,2,1,1,20,1,NA,7489.658,7489.658,NA,0.52
328330,Babyrousa babyrussa,Babyrousa_babyrussa,Artiodactyla,Suidae,Babyrousa,babyrussa,0,3,92950.09,NA,950,NA,NA,NA,NA,6,NA,156.5,1,NA,NA,NA,1.73,1.5,288,715,NA,NA,NA,362.5,4.5,4,1,2,212.91,NA,NA,NA,3.68,NA,2,4,18.0164,18.0164,NA,1.73,NA,NA,92,2,NA,0,24,3,1,18590.018,18590.018,NA,NA
